start,start_date,start_time,end,end_date,end_time,@LulaOficial_mentions,@LulaOficial_mentions_without_retweet,@jairbolsonaro_mentions,@jairbolsonaro_mentions_without_retweet,@cirogomes_mentions,@cirogomes_mentions_without_retweet,@simonetebetbr_mentions,@simonetebetbr_mentions_without_retweet
2022-09-11 13:00:00-03:00,2022-09-11,13:00:00,2022-09-11 14:00:00-03:00,2022-09-11,14:00:00,7523,3749,10776,2560,1700,811,187,140
2022-09-11 14:00:00-03:00,2022-09-11,14:00:00,2022-09-11 15:00:00-03:00,2022-09-11,15:00:00,7191,3639,8604,2225,1498,812,231,172
2022-09-11 15:00:00-03:00,2022-09-11,15:00:00,2022-09-11 16:00:00-03:00,2022-09-11,16:00:00,7850,4084,7466,1834,1599,924,186,127
2022-09-11 16:00:00-03:00,2022-09-11,16:00:00,2022-09-11 17:00:00-03:00,2022-09-11,17:00:00,9526,4307,7808,1859,1933,1057,212,151
2022-09-11 17:00:00-03:00,2022-09-11,17:00:00,2022-09-11 18:00:00-03:00,2022-09-11,18:00:00,11663,5585,8519,1762,1659,960,221,162
2022-09-11 18:00:00-03:00,2022-09-11,18:00:00,2022-09-11 19:00:00-03:00,2022-09-11,19:00:00,9088,4744,7735,1675,2264,1344,200,149
2022-09-11 19:00:00-03:00,2022-09-11,19:00:00,2022-09-11 20:00:00-03:00,2022-09-11,20:00:00,9737,4932,9749,2077,2790,1753,237,189
2022-09-11 20:00:00-03:00,2022-09-11,20:00:00,2022-09-11 21:00:00-03:00,2022-09-11,21:00:00,10355,5377,8822,1927,2909,1800,159,87
2022-09-11 21:00:00-03:00,2022-09-11,21:00:00,2022-09-11 22:00:00-03:00,2022-09-11,22:00:00,10919,5796,8493,1961,2170,1385,171,118
2022-09-11 22:00:00-03:00,2022-09-11,22:00:00,2022-09-11 23:00:00-03:00,2022-09-11,23:00:00,10282,5435,7878,1611,1672,966,96,64
2022-09-11 23:00:00-03:00,2022-09-11,23:00:00,2022-09-12 00:00:00-03:00,2022-09-12,00:00:00,7503,3863,5802,1230,1481,861,118,82
2022-09-12 00:00:00-03:00,2022-09-12,00:00:00,2022-09-12 01:00:00-03:00,2022-09-12,01:00:00,4400,2420,4045,902,808,455,77,37
2022-09-12 01:00:00-03:00,2022-09-12,01:00:00,2022-09-12 02:00:00-03:00,2022-09-12,02:00:00,2514,1338,2431,921,492,286,37,22
2022-09-12 02:00:00-03:00,2022-09-12,02:00:00,2022-09-12 03:00:00-03:00,2022-09-12,03:00:00,1307,658,1310,366,305,192,18,11
2022-09-12 03:00:00-03:00,2022-09-12,03:00:00,2022-09-12 04:00:00-03:00,2022-09-12,04:00:00,908,484,807,207,133,83,11,5
2022-09-12 04:00:00-03:00,2022-09-12,04:00:00,2022-09-12 05:00:00-03:00,2022-09-12,05:00:00,850,435,977,169,169,105,8,6
2022-09-12 05:00:00-03:00,2022-09-12,05:00:00,2022-09-12 06:00:00-03:00,2022-09-12,06:00:00,1393,689,1649,300,349,211,22,11
2022-09-12 06:00:00-03:00,2022-09-12,06:00:00,2022-09-12 07:00:00-03:00,2022-09-12,07:00:00,2868,1591,5415,985,623,328,35,21
2022-09-12 07:00:00-03:00,2022-09-12,07:00:00,2022-09-12 08:00:00-03:00,2022-09-12,08:00:00,5621,2680,7419,1368,835,514,60,39
2022-09-12 08:00:00-03:00,2022-09-12,08:00:00,2022-09-12 09:00:00-03:00,2022-09-12,09:00:00,7294,3702,7623,1541,2034,1113,83,53
2022-09-12 09:00:00-03:00,2022-09-12,09:00:00,2022-09-12 10:00:00-03:00,2022-09-12,10:00:00,7144,3804,7196,1720,2047,1047,152,91
2022-09-12 10:00:00-03:00,2022-09-12,10:00:00,2022-09-12 11:00:00-03:00,2022-09-12,11:00:00,7610,3766,6414,1438,1765,999,239,162
2022-09-12 11:00:00-03:00,2022-09-12,11:00:00,2022-09-12 12:00:00-03:00,2022-09-12,12:00:00,7790,3837,5928,1408,1572,894,143,93
2022-09-12 12:00:00-03:00,2022-09-12,12:00:00,2022-09-12 13:00:00-03:00,2022-09-12,13:00:00,11291,4862,9410,1956,3632,1420,175,125
2022-09-12 13:00:00-03:00,2022-09-12,13:00:00,2022-09-12 14:00:00-03:00,2022-09-12,14:00:00,13384,6540,9600,2018,3784,1826,200,121
2022-09-12 14:00:00-03:00,2022-09-12,14:00:00,2022-09-12 15:00:00-03:00,2022-09-12,15:00:00,12248,6212,8996,1993,2328,1248,136,91
2022-09-12 15:00:00-03:00,2022-09-12,15:00:00,2022-09-12 16:00:00-03:00,2022-09-12,16:00:00,11476,6256,7441,1652,2182,1016,213,141
2022-09-12 16:00:00-03:00,2022-09-12,16:00:00,2022-09-12 17:00:00-03:00,2022-09-12,17:00:00,10625,5690,7821,1621,1877,964,185,124
2022-09-12 17:00:00-03:00,2022-09-12,17:00:00,2022-09-12 18:00:00-03:00,2022-09-12,18:00:00,11729,6120,8142,1751,1837,929,180,121
2022-09-12 18:00:00-03:00,2022-09-12,18:00:00,2022-09-12 19:00:00-03:00,2022-09-12,19:00:00,12587,6678,7392,1691,2387,1272,219,124
2022-09-12 19:00:00-03:00,2022-09-12,19:00:00,2022-09-12 20:00:00-03:00,2022-09-12,20:00:00,12022,6042,7903,2065,3231,1547,253,180
2022-09-12 20:00:00-03:00,2022-09-12,20:00:00,2022-09-12 21:00:00-03:00,2022-09-12,21:00:00,22133,8891,6976,2131,2608,1086,237,164
2022-09-12 21:00:00-03:00,2022-09-12,21:00:00,2022-09-12 22:00:00-03:00,2022-09-12,22:00:00,23528,10733,7847,2434,3050,1689,358,228
2022-09-12 22:00:00-03:00,2022-09-12,22:00:00,2022-09-12 23:00:00-03:00,2022-09-12,23:00:00,25781,12909,7156,2195,2129,1264,329,241
2022-09-12 23:00:00-03:00,2022-09-12,23:00:00,2022-09-13 00:00:00-03:00,2022-09-13,00:00:00,17273,8797,5537,1553,1610,888,241,157
2022-09-13 00:00:00-03:00,2022-09-13,00:00:00,2022-09-13 01:00:00-03:00,2022-09-13,01:00:00,9564,4682,7548,1975,993,565,190,141
2022-09-13 01:00:00-03:00,2022-09-13,01:00:00,2022-09-13 02:00:00-03:00,2022-09-13,02:00:00,4430,2290,3244,862,560,286,106,82
2022-09-13 02:00:00-03:00,2022-09-13,02:00:00,2022-09-13 03:00:00-03:00,2022-09-13,03:00:00,2514,1205,1687,361,325,155,37,33
2022-09-13 03:00:00-03:00,2022-09-13,03:00:00,2022-09-13 04:00:00-03:00,2022-09-13,04:00:00,1590,748,1072,255,207,108,40,24
2022-09-13 04:00:00-03:00,2022-09-13,04:00:00,2022-09-13 05:00:00-03:00,2022-09-13,05:00:00,1525,767,1108,249,192,96,32,19
2022-09-13 05:00:00-03:00,2022-09-13,05:00:00,2022-09-13 06:00:00-03:00,2022-09-13,06:00:00,2645,1363,1956,435,255,121,52,27
2022-09-13 06:00:00-03:00,2022-09-13,06:00:00,2022-09-13 07:00:00-03:00,2022-09-13,07:00:00,5158,3063,4511,990,628,312,88,56
2022-09-13 07:00:00-03:00,2022-09-13,07:00:00,2022-09-13 08:00:00-03:00,2022-09-13,08:00:00,7880,4632,9183,2593,861,413,143,99
2022-09-13 08:00:00-03:00,2022-09-13,08:00:00,2022-09-13 09:00:00-03:00,2022-09-13,09:00:00,10110,5895,9487,2966,820,424,164,118
2022-09-13 09:00:00-03:00,2022-09-13,09:00:00,2022-09-13 10:00:00-03:00,2022-09-13,10:00:00,8997,5599,10081,3136,1320,692,175,142
2022-09-13 10:00:00-03:00,2022-09-13,10:00:00,2022-09-13 11:00:00-03:00,2022-09-13,11:00:00,9651,5566,10375,3539,1189,544,168,129
2022-09-13 11:00:00-03:00,2022-09-13,11:00:00,2022-09-13 12:00:00-03:00,2022-09-13,12:00:00,11108,6638,12190,3697,1354,791,143,113
2022-09-13 12:00:00-03:00,2022-09-13,12:00:00,2022-09-13 13:00:00-03:00,2022-09-13,13:00:00,10309,6224,10778,3292,1429,667,139,107
2022-09-13 13:00:00-03:00,2022-09-13,13:00:00,2022-09-13 14:00:00-03:00,2022-09-13,14:00:00,10803,6365,11110,3690,1927,925,163,137
2022-09-13 14:00:00-03:00,2022-09-13,14:00:00,2022-09-13 15:00:00-03:00,2022-09-13,15:00:00,8538,5102,10551,3401,1516,725,117,98
2022-09-13 15:00:00-03:00,2022-09-13,15:00:00,2022-09-13 16:00:00-03:00,2022-09-13,16:00:00,9387,5281,9239,3087,1093,509,192,130
2022-09-13 16:00:00-03:00,2022-09-13,16:00:00,2022-09-13 17:00:00-03:00,2022-09-13,17:00:00,8661,4901,8626,2744,1895,775,375,242
2022-09-13 17:00:00-03:00,2022-09-13,17:00:00,2022-09-13 18:00:00-03:00,2022-09-13,18:00:00,9854,5269,11383,3129,1580,674,284,176
2022-09-13 18:00:00-03:00,2022-09-13,18:00:00,2022-09-13 19:00:00-03:00,2022-09-13,19:00:00,10468,5500,10807,2998,1373,596,233,176
2022-09-13 19:00:00-03:00,2022-09-13,19:00:00,2022-09-13 20:00:00-03:00,2022-09-13,20:00:00,11755,6151,10294,2791,2344,1058,283,208
2022-09-13 20:00:00-03:00,2022-09-13,20:00:00,2022-09-13 21:00:00-03:00,2022-09-13,21:00:00,11809,6151,12142,3535,2190,842,340,270
2022-09-13 21:00:00-03:00,2022-09-13,21:00:00,2022-09-13 22:00:00-03:00,2022-09-13,22:00:00,11650,5952,14688,3525,1628,651,232,169
2022-09-13 22:00:00-03:00,2022-09-13,22:00:00,2022-09-13 23:00:00-03:00,2022-09-13,23:00:00,10887,5632,19542,3736,2749,1219,216,166
2022-09-13 23:00:00-03:00,2022-09-13,23:00:00,2022-09-14 00:00:00-03:00,2022-09-14,00:00:00,7938,4124,13376,2747,1356,644,134,113
2022-09-14 00:00:00-03:00,2022-09-14,00:00:00,2022-09-14 01:00:00-03:00,2022-09-14,01:00:00,4927,2576,7854,1746,962,440,91,48
2022-09-14 01:00:00-03:00,2022-09-14,01:00:00,2022-09-14 02:00:00-03:00,2022-09-14,02:00:00,2399,1258,3923,923,502,229,58,48
2022-09-14 02:00:00-03:00,2022-09-14,02:00:00,2022-09-14 03:00:00-03:00,2022-09-14,03:00:00,1507,756,2237,615,252,128,34,30
2022-09-14 03:00:00-03:00,2022-09-14,03:00:00,2022-09-14 04:00:00-03:00,2022-09-14,04:00:00,1083,510,1645,368,183,67,20,10
