start,start_date,start_time,end,end_date,end_time,@LulaOficial_mentions,@LulaOficial_mentions_without_retweet,@jairbolsonaro_mentions,@jairbolsonaro_mentions_without_retweet,@cirogomes_mentions,@cirogomes_mentions_without_retweet,@simonetebetbr_mentions,@simonetebetbr_mentions_without_retweet
2022-09-13 20:00:00-03:00,2022-09-13,20:00:00,2022-09-13 21:00:00-03:00,2022-09-13,21:00:00,11778,6129,12105,3528,2161,823,338,268
2022-09-13 21:00:00-03:00,2022-09-13,21:00:00,2022-09-13 22:00:00-03:00,2022-09-13,22:00:00,11634,5940,14631,3513,1607,641,232,169
2022-09-13 22:00:00-03:00,2022-09-13,22:00:00,2022-09-13 23:00:00-03:00,2022-09-13,23:00:00,10838,5593,19472,3722,2715,1192,215,165
2022-09-13 23:00:00-03:00,2022-09-13,23:00:00,2022-09-14 00:00:00-03:00,2022-09-14,00:00:00,7902,4097,13317,2736,1340,634,134,113
2022-09-14 00:00:00-03:00,2022-09-14,00:00:00,2022-09-14 01:00:00-03:00,2022-09-14,01:00:00,4904,2564,7839,1737,924,418,89,47
2022-09-14 01:00:00-03:00,2022-09-14,01:00:00,2022-09-14 02:00:00-03:00,2022-09-14,02:00:00,2387,1252,3910,918,497,225,56,46
2022-09-14 02:00:00-03:00,2022-09-14,02:00:00,2022-09-14 03:00:00-03:00,2022-09-14,03:00:00,1500,751,2227,609,250,127,34,30
2022-09-14 03:00:00-03:00,2022-09-14,03:00:00,2022-09-14 04:00:00-03:00,2022-09-14,04:00:00,1081,509,1644,368,182,67,20,10
2022-09-14 04:00:00-03:00,2022-09-14,04:00:00,2022-09-14 05:00:00-03:00,2022-09-14,05:00:00,1045,471,1846,383,174,62,21,14
2022-09-14 05:00:00-03:00,2022-09-14,05:00:00,2022-09-14 06:00:00-03:00,2022-09-14,06:00:00,1578,816,3073,507,260,108,14,10
2022-09-14 06:00:00-03:00,2022-09-14,06:00:00,2022-09-14 07:00:00-03:00,2022-09-14,07:00:00,3224,1784,6032,1290,1006,473,56,43
2022-09-14 07:00:00-03:00,2022-09-14,07:00:00,2022-09-14 08:00:00-03:00,2022-09-14,08:00:00,5027,2936,9288,2111,1496,769,375,267
2022-09-14 08:00:00-03:00,2022-09-14,08:00:00,2022-09-14 09:00:00-03:00,2022-09-14,09:00:00,6108,3431,8913,2253,2668,1503,662,488
2022-09-14 09:00:00-03:00,2022-09-14,09:00:00,2022-09-14 10:00:00-03:00,2022-09-14,10:00:00,6271,3449,9721,2362,4067,2313,998,783
2022-09-14 10:00:00-03:00,2022-09-14,10:00:00,2022-09-14 11:00:00-03:00,2022-09-14,11:00:00,6810,3814,11832,2791,3852,2143,646,467
2022-09-14 11:00:00-03:00,2022-09-14,11:00:00,2022-09-14 12:00:00-03:00,2022-09-14,12:00:00,6465,3659,10665,2511,2853,1494,529,373
2022-09-14 12:00:00-03:00,2022-09-14,12:00:00,2022-09-14 13:00:00-03:00,2022-09-14,13:00:00,6857,3765,9522,2313,2697,1362,499,350
2022-09-14 13:00:00-03:00,2022-09-14,13:00:00,2022-09-14 14:00:00-03:00,2022-09-14,14:00:00,10230,5169,9692,2201,2493,1316,458,348
2022-09-14 14:00:00-03:00,2022-09-14,14:00:00,2022-09-14 15:00:00-03:00,2022-09-14,15:00:00,8046,4442,7248,2021,2700,1564,300,218
2022-09-14 15:00:00-03:00,2022-09-14,15:00:00,2022-09-14 16:00:00-03:00,2022-09-14,16:00:00,6840,3666,6402,1758,2557,1555,308,253
2022-09-14 16:00:00-03:00,2022-09-14,16:00:00,2022-09-14 17:00:00-03:00,2022-09-14,17:00:00,7531,3975,6512,1830,2439,1431,261,195
2022-09-14 17:00:00-03:00,2022-09-14,17:00:00,2022-09-14 18:00:00-03:00,2022-09-14,18:00:00,7376,3859,6225,1798,2154,1154,226,175
2022-09-14 18:00:00-03:00,2022-09-14,18:00:00,2022-09-14 19:00:00-03:00,2022-09-14,19:00:00,7330,4085,11334,2702,2591,1310,273,136
2022-09-14 19:00:00-03:00,2022-09-14,19:00:00,2022-09-14 20:00:00-03:00,2022-09-14,20:00:00,8806,4697,10299,2267,2357,1306,193,151
2022-09-14 20:00:00-03:00,2022-09-14,20:00:00,2022-09-14 21:00:00-03:00,2022-09-14,21:00:00,8507,4599,8963,2198,2457,1231,205,158
2022-09-14 21:00:00-03:00,2022-09-14,21:00:00,2022-09-14 22:00:00-03:00,2022-09-14,22:00:00,8972,4536,11354,2963,2772,1322,212,148
2022-09-14 22:00:00-03:00,2022-09-14,22:00:00,2022-09-14 23:00:00-03:00,2022-09-14,23:00:00,10471,5169,8781,2079,2074,1089,216,162
2022-09-14 23:00:00-03:00,2022-09-14,23:00:00,2022-09-15 00:00:00-03:00,2022-09-15,00:00:00,10466,5307,8415,1880,1809,944,127,94
2022-09-15 00:00:00-03:00,2022-09-15,00:00:00,2022-09-15 01:00:00-03:00,2022-09-15,01:00:00,5729,2817,5295,1161,1112,523,90,69
2022-09-15 01:00:00-03:00,2022-09-15,01:00:00,2022-09-15 02:00:00-03:00,2022-09-15,02:00:00,2734,1357,2754,707,598,296,45,28
2022-09-15 02:00:00-03:00,2022-09-15,02:00:00,2022-09-15 03:00:00-03:00,2022-09-15,03:00:00,1581,757,1596,386,368,181,41,28
2022-09-15 03:00:00-03:00,2022-09-15,03:00:00,2022-09-15 04:00:00-03:00,2022-09-15,04:00:00,996,424,1083,222,213,107,26,17
